gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
AC011287.1,0,1.855292069,0.99,0.613,0,EX.UL
CBLN2,0,1.611361872,0.941,0.589,0,EX.UL
HS6ST3,0,1.452910254,0.99,0.738,0,EX.UL
IQCJ-SCHIP1,0,1.426051551,0.992,0.683,0,EX.UL
LINC02306,0,1.423376353,0.772,0.442,0,EX.UL
TAFA1,0,1.418004256,0.986,0.699,0,EX.UL
CUX2,0,1.371803073,0.944,0.565,0,EX.UL
KCNIP4,0,1.355767389,0.999,0.805,0,EX.UL
AC034268.2,0,1.344471217,0.949,0.627,0,EX.UL
LINC01378,0,1.341564984,0.864,0.496,0,EX.UL
AC013287.1,0,1.311375618,0.842,0.519,0,EX.UL
DGKB,0,1.298076945,0.977,0.705,0,EX.UL
LRRTM4,0,1.258386458,0.997,0.811,0,EX.UL
AJ009632.2,0,1.256976636,0.778,0.53,0,EX.UL
CDH18,0,1.249927862,0.979,0.692,0,EX.UL
LINC02263,0,1.243891982,0.833,0.543,0,EX.UL
AL117329.1,0,1.197785627,0.89,0.625,0,EX.UL
LINC02055,0,1.196357435,0.778,0.481,0,EX.UL
LINGO2,0,1.182285985,0.964,0.654,0,EX.UL
LDB2,0,1.173672896,0.982,0.687,0,EX.UL
R3HDM1,0,1.155974126,0.991,0.77,0,EX.UL
AL157944.1,0,1.143854025,0.836,0.496,0,EX.UL
DLGAP2,0,1.131155078,0.987,0.706,0,EX.UL
AC107223.1,0,1.12327637,0.945,0.66,0,EX.UL
LINC01250,0,1.113127822,0.929,0.628,0,EX.UL
EPHA6,0,1.077688827,0.963,0.589,0,EX.UL
LINC02822,0,1.068905226,0.872,0.578,0,EX.UL
GRIA4,0,1.068504024,0.991,0.749,0,EX.UL
RGS6,0,1.062274306,0.956,0.643,0,EX.UL
MLIP,0,1.056941582,0.946,0.638,0,EX.UL
STXBP5L,0,1.038985007,0.989,0.773,0,EX.UL
AC008574.1,0,1.025801275,0.87,0.575,0,EX.UL
MEG3,0,0.998127471,0.996,0.747,0,EX.UL
NDST3,0,0.992742763,0.923,0.601,0,EX.UL
TESPA1,0,0.976305165,0.89,0.518,0,EX.UL
ENC1,0,0.957967439,0.982,0.714,0,EX.UL
CDH12,0,0.940584435,0.946,0.648,0,EX.UL
LINC00507,0,0.925543839,0.904,0.561,0,EX.UL
KCNH1,0,0.913591954,0.972,0.655,0,EX.UL
KCTD16,0,0.909636092,0.978,0.716,0,EX.UL
HOMER1,0,0.909232983,0.977,0.74,0,EX.UL
LINC01331,0,0.901133272,0.905,0.545,0,EX.UL
AL008633.1,0,0.891762461,0.928,0.681,0,EX.UL
SYN3,0,0.88179343,0.883,0.554,0,EX.UL
PHACTR1,0,0.874149533,0.994,0.8,0,EX.UL
CACNA2D3,0,0.873218695,0.956,0.659,0,EX.UL
CA10,0,0.871281721,0.972,0.676,0,EX.UL
FAM153CP,0,0.86816762,0.934,0.616,0,EX.UL
SORBS2,0,0.867349135,0.968,0.724,0,EX.UL
PLEKHA5,0,0.861712662,0.977,0.708,0,EX.UL
SLIT3,0,0.855874578,0.893,0.573,0,EX.UL
GPC6,0,0.855283791,0.97,0.728,0,EX.UL
KIAA1211L,0,0.844579928,0.877,0.622,0,EX.UL
LY86-AS1,0,0.837047015,0.865,0.578,0,EX.UL
AC093607.1,0,0.827122798,0.837,0.581,0,EX.UL
ST6GALNAC5,0,0.824853562,0.914,0.639,0,EX.UL
KHDRBS2,0,0.82298136,0.981,0.745,0,EX.UL
ADGRL2,0,0.82277829,0.962,0.676,0,EX.UL
KCTD1,0,0.805682557,0.908,0.587,0,EX.UL
ASIC2,0,0.799879014,0.955,0.69,0,EX.UL
AL591501.1,0,0.799153805,0.875,0.586,0,EX.UL
PDZD2,0,0.796418828,0.887,0.607,0,EX.UL
CACNG3,0,0.792061107,0.924,0.663,0,EX.UL
SATB2,0,0.788101975,0.921,0.584,0,EX.UL
AC110614.1,0,0.78393592,0.729,0.399,0,EX.UL
FAT3,0,0.781785195,0.93,0.689,0,EX.UL
TAFA2,0,0.776967995,0.965,0.678,0,EX.UL
AC007563.2,0,0.775927426,0.813,0.464,0,EX.UL
LINC01090,0,0.769069049,0.787,0.616,0,EX.UL
MIR137HG,0,0.768630401,0.9,0.587,0,EX.UL
ANO3,0,0.767338336,0.911,0.621,0,EX.UL
RALYL,0,0.765195351,0.979,0.722,0,EX.UL
COL24A1,0,0.752322475,0.914,0.607,0,EX.UL
DLGAP1-AS4,0,0.745388881,0.929,0.623,0,EX.UL
CDH9,0,0.74537746,0.938,0.655,0,EX.UL
FSTL4,0,0.745055788,0.921,0.588,0,EX.UL
AC117453.1,0,0.735918608,0.852,0.606,0,EX.UL
TMEM132D,0,0.734853761,0.967,0.772,0,EX.UL
MAN1A1,0,0.731458302,0.888,0.618,0,EX.UL
GRM1,0,0.728307296,0.87,0.552,0,EX.UL
CDH22,0,0.722577953,0.797,0.454,0,EX.UL
AC067956.1,0,0.71904802,0.819,0.533,0,EX.UL
COL5A2,0,0.715647072,0.734,0.524,0,EX.UL
AC019211.1,0,0.710567056,0.8,0.608,0,EX.UL
LINC02296,0,0.704662846,0.712,0.504,0,EX.UL
GULP1,0,0.7026813,0.838,0.582,0,EX.UL
DOK6,0,0.695075413,0.961,0.717,0,EX.UL
AL391840.1,0,0.688968142,0.863,0.572,0,EX.UL
LINC01122,0,0.677219964,0.902,0.635,0,EX.UL
OLFM3,0,0.676445327,0.909,0.683,0,EX.UL
NELL2,0,0.670470439,0.964,0.693,0,EX.UL
ZNF804B,0,0.662421116,0.934,0.67,0,EX.UL
BASP1-AS1,0,0.659777127,0.886,0.671,0,EX.UL
KCNH7,0,0.658341656,0.961,0.736,0,EX.UL
GRM7,0,0.658008707,0.98,0.724,0,EX.UL
AP000829.1,0,0.657188492,0.728,0.475,0,EX.UL
FAM153B,0,0.656903047,0.856,0.57,0,EX.UL
SLC35F3,0,0.652914353,0.914,0.572,0,EX.UL
PTK2B,0,0.651053252,0.775,0.432,0,EX.UL
KCNIP4-IT1,0,0.649171045,0.87,0.521,0,EX.UL
PTPRR,0,0.645362615,0.934,0.658,0,EX.UL
CABP1,0,0.645353294,0.835,0.502,0,EX.UL
